epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6663,1.41087,3.5738,1.32501,0.71463,0.14826,0.17683,0.12019,1.27709,3.05191,1.15994,0.000236096,0.000236096,0.000236096
2,44.7835,1.41378,2.9939,1.24072,0.27334,0.3974,0.25919,0.15192,1.31727,2.26312,1.17419,0.000469402,0.000469402,0.000469402
3,64.9422,1.44045,2.57101,1.26517,0.28882,0.45843,0.29014,0.1811,1.35831,2.31392,1.21869,0.000697996,0.000697996,0.000697996
4,84.6226,1.34442,2.51448,1.23295,0.33625,0.55712,0.33529,0.21301,1.33637,2.08046,1.22965,0.000692794,0.000692794,0.000692794
5,104.09,1.36168,2.42367,1.24291,0.33984,0.50528,0.33187,0.21476,1.31192,2.19802,1.23345,0.000685726,0.000685726,0.000685726
6,130.719,1.37539,2.09457,1.26059,0.3209,0.55789,0.33231,0.20571,1.3337,1.96092,1.18921,0.000678657,0.000678657,0.000678657
7,151.342,1.3243,2.0786,1.21603,0.40512,0.4777,0.35242,0.2178,1.33753,2.22406,1.20256,0.000671588,0.000671588,0.000671588
8,171.792,1.29276,2.00085,1.21025,0.38324,0.50154,0.39661,0.25803,1.29346,1.82897,1.18082,0.00066452,0.00066452,0.00066452
9,192.409,1.35149,1.87317,1.24727,0.38554,0.51756,0.39063,0.24615,1.31304,1.86899,1.18791,0.000657451,0.000657451,0.000657451
10,212.796,1.37572,1.9641,1.24103,0.44861,0.50894,0.40783,0.25548,1.3142,1.91333,1.17291,0.000650383,0.000650383,0.000650383
11,233.42,1.34245,1.882,1.21924,0.46334,0.44953,0.42328,0.26493,1.33068,1.67255,1.18084,0.000643314,0.000643314,0.000643314
12,254.324,1.25481,1.87411,1.18042,0.44257,0.51764,0.4152,0.27512,1.28351,1.6415,1.17308,0.000636245,0.000636245,0.000636245
13,275.185,1.41386,1.92338,1.27164,0.41355,0.51033,0.39458,0.2411,1.35037,1.72156,1.19099,0.000629177,0.000629177,0.000629177
14,295.64,1.35929,1.82634,1.21728,0.42137,0.58057,0.43725,0.27962,1.30893,1.72156,1.17644,0.000622108,0.000622108,0.000622108
15,316.121,1.36878,1.66342,1.23251,0.43825,0.54227,0.45226,0.29915,1.29475,1.67132,1.17688,0.00061504,0.00061504,0.00061504
16,336.551,1.35529,1.7783,1.22718,0.42109,0.57035,0.453,0.28514,1.33997,1.86274,1.19969,0.000607971,0.000607971,0.000607971
17,357.042,1.29978,1.70079,1.20183,0.42138,0.5453,0.4319,0.28434,1.29905,1.68069,1.18862,0.000600902,0.000600902,0.000600902
