epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6098,1.59313,2.09964,1.68853,0.38558,0.2819,0.22693,0.10054,1.37244,1.802,1.54517,0.000234222,0.000234222,0.000234222
2,59.2945,1.20159,1.28234,1.42332,0.31553,0.32537,0.2261,0.11039,1.37628,1.35264,1.48333,0.000467547,0.000467547,0.000467547
3,79.9555,1.28345,1.2585,1.3962,0.43995,0.35217,0.30051,0.16156,1.39601,1.28295,1.49678,0.00069616,0.00069616,0.00069616
4,100.484,1.13098,1.14003,1.33226,0.31614,0.39149,0.24489,0.10621,1.35179,1.27855,1.43406,0.000692794,0.000692794,0.000692794
5,120.308,1.21839,1.06622,1.30731,0.33357,0.45894,0.31517,0.15381,1.3473,1.15715,1.43456,0.000685726,0.000685726,0.000685726
6,140.11,1.14025,1.01216,1.32037,0.35573,0.37743,0.30847,0.16424,1.38809,1.25625,1.46436,0.000678657,0.000678657,0.000678657
7,160.49,1.22415,1.01414,1.33075,0.3209,0.34015,0.25585,0.1367,1.34133,1.25541,1.42718,0.000671588,0.000671588,0.000671588
8,180.303,1.1771,0.96773,1.30397,0.36026,0.41399,0.32776,0.1697,1.33996,1.11238,1.42504,0.00066452,0.00066452,0.00066452
9,200.636,1.07613,0.92108,1.2667,0.38666,0.40645,0.35001,0.18848,1.33456,1.12034,1.43775,0.000657451,0.000657451,0.000657451
10,221.061,1.10022,0.88996,1.30035,0.30343,0.46713,0.29265,0.15679,1.29811,1.05889,1.4073,0.000650383,0.000650383,0.000650383
11,240.901,1.06842,0.87025,1.2498,0.37244,0.38482,0.34843,0.18743,1.34647,1.18175,1.45378,0.000643314,0.000643314,0.000643314
12,260.714,1.03954,0.91011,1.27019,0.38778,0.43784,0.34639,0.1707,1.32573,1.04757,1.43717,0.000636245,0.000636245,0.000636245
13,280.511,1.04843,0.86648,1.25074,0.35558,0.48476,0.34914,0.17388,1.33018,1.07437,1.43306,0.000629177,0.000629177,0.000629177
14,300.317,1.07016,0.84457,1.26007,0.37421,0.45382,0.31574,0.15637,1.30535,1.08998,1.4103,0.000622108,0.000622108,0.000622108
15,320.227,1.09812,0.83587,1.28663,0.27271,0.47858,0.30046,0.14466,1.30947,1.09996,1.41446,0.00061504,0.00061504,0.00061504
16,340.232,1.05907,0.8246,1.23246,0.36592,0.30987,0.29353,0.14814,1.30352,1.15628,1.43746,0.000607971,0.000607971,0.000607971
17,360.006,1.09115,0.86609,1.26066,0.29989,0.40035,0.29392,0.15722,1.31972,1.15289,1.45813,0.000600902,0.000600902,0.000600902
18,379.801,1.04594,0.8032,1.20399,0.35305,0.36744,0.30363,0.15425,1.29323,1.0799,1.43976,0.000593834,0.000593834,0.000593834
19,399.553,0.95762,0.79003,1.1894,0.34632,0.36476,0.32641,0.17066,1.30014,1.12707,1.43517,0.000586765,0.000586765,0.000586765
20,419.408,1.06673,0.72506,1.26375,0.29836,0.50843,0.32358,0.15318,1.29863,1.13416,1.41977,0.000579697,0.000579697,0.000579697
21,439.29,1.02151,0.79225,1.2674,0.28715,0.44285,0.31227,0.15285,1.32743,1.13262,1.42507,0.000572628,0.000572628,0.000572628
22,459.209,0.94744,0.77168,1.19419,0.31749,0.39301,0.31583,0.16542,1.32201,1.13559,1.42198,0.000565559,0.000565559,0.000565559
23,479.094,1.01115,0.71048,1.16155,0.28653,0.47797,0.32006,0.17343,1.31683,1.07579,1.43808,0.000558491,0.000558491,0.000558491
24,498.959,0.96916,0.71348,1.22041,0.35827,0.30925,0.32456,0.1656,1.30114,1.13068,1.43571,0.000551422,0.000551422,0.000551422
25,518.893,0.98041,0.76427,1.17268,0.37702,0.40761,0.3521,0.1661,1.30031,1.07554,1.43789,0.000544354,0.000544354,0.000544354
26,538.739,0.9198,0.67254,1.17982,0.35062,0.41671,0.33312,0.1561,1.3209,1.10728,1.43279,0.000537285,0.000537285,0.000537285
27,558.607,0.95656,0.72356,1.19104,0.36591,0.37184,0.32212,0.16978,1.29685,1.06871,1.4401,0.000530216,0.000530216,0.000530216
28,578.462,1.06884,0.73707,1.17067,0.36027,0.38166,0.34144,0.18398,1.2946,1.04689,1.44149,0.000523148,0.000523148,0.000523148
29,598.382,0.98103,0.72088,1.16021,0.35674,0.39756,0.34566,0.17682,1.294,1.03692,1.45263,0.000516079,0.000516079,0.000516079
30,618.168,0.98849,0.70038,1.21889,0.38371,0.36797,0.32235,0.16662,1.30968,1.08806,1.43339,0.000509011,0.000509011,0.000509011
31,638.033,0.91639,0.67785,1.16674,0.48558,0.38505,0.36821,0.19235,1.31468,1.04087,1.45513,0.000501942,0.000501942,0.000501942
32,658.479,0.93922,0.67922,1.15,0.39063,0.43492,0.35953,0.18128,1.29504,1.03459,1.425,0.000494873,0.000494873,0.000494873
33,678.359,0.98499,0.69819,1.17316,0.36777,0.3941,0.34285,0.16997,1.33982,1.13839,1.45015,0.000487805,0.000487805,0.000487805
34,698.267,0.98426,0.69228,1.17517,0.25253,0.53504,0.29707,0.15602,1.28437,1.09441,1.41468,0.000480736,0.000480736,0.000480736
35,718.168,0.9558,0.60726,1.17685,0.35595,0.481,0.3491,0.18711,1.28529,1.02497,1.39274,0.000473668,0.000473668,0.000473668
36,738.056,0.89999,0.61411,1.12151,0.37122,0.37584,0.33192,0.16846,1.30198,1.03293,1.41068,0.000466599,0.000466599,0.000466599
37,757.955,0.90903,0.70078,1.11618,0.41439,0.32333,0.32436,0.17858,1.29628,1.09369,1.4323,0.00045953,0.00045953,0.00045953
38,777.839,0.93976,0.64681,1.1532,0.42933,0.34949,0.31706,0.16847,1.29532,1.12889,1.45232,0.000452462,0.000452462,0.000452462
39,797.627,0.85076,0.70429,1.11553,0.39705,0.32941,0.31603,0.16412,1.28685,1.11702,1.43727,0.000445393,0.000445393,0.000445393
40,817.388,0.85962,0.61317,1.12866,0.42179,0.38008,0.36317,0.19304,1.32855,1.06268,1.47367,0.000438325,0.000438325,0.000438325
41,837.757,0.94113,0.60657,1.14881,0.42922,0.35206,0.34605,0.1749,1.30222,1.05874,1.45376,0.000431256,0.000431256,0.000431256
42,857.455,0.87614,0.63984,1.14824,0.4614,0.39343,0.3694,0.18291,1.31582,1.06521,1.47987,0.000424187,0.000424187,0.000424187
43,877.173,0.86986,0.61572,1.09822,0.40191,0.36106,0.30712,0.15551,1.32656,1.09448,1.4956,0.000417119,0.000417119,0.000417119
44,896.969,0.83396,0.59006,1.09187,0.36585,0.34965,0.27581,0.135,1.31057,1.12167,1.48113,0.00041005,0.00041005,0.00041005
45,916.763,0.86592,0.56934,1.09178,0.30244,0.39891,0.26712,0.12956,1.29889,1.10703,1.42223,0.000402982,0.000402982,0.000402982
46,936.491,0.82238,0.59468,1.08268,0.32156,0.33866,0.25692,0.12408,1.28008,1.11668,1.41215,0.000395913,0.000395913,0.000395913
47,956.243,0.88501,0.65134,1.12732,0.33201,0.37075,0.31786,0.15269,1.2754,1.06951,1.42656,0.000388844,0.000388844,0.000388844
48,976.153,0.79265,0.53201,1.07338,0.37463,0.41919,0.34626,0.18529,1.28511,1.00857,1.44541,0.000381776,0.000381776,0.000381776
49,996.277,0.84366,0.61496,1.13276,0.43402,0.32999,0.35074,0.19061,1.29129,1.06802,1.4396,0.000374707,0.000374707,0.000374707
50,1021.36,0.86773,0.63764,1.12704,0.34583,0.33939,0.29387,0.14714,1.30672,1.16753,1.4499,0.000367639,0.000367639,0.000367639
51,1049.22,0.91603,0.59997,1.12703,0.32542,0.41212,0.31656,0.15835,1.31821,1.0754,1.51889,0.00036057,0.00036057,0.00036057
52,1076.4,0.87062,0.60518,1.11667,0.37693,0.31876,0.28576,0.15076,1.31728,1.12545,1.45653,0.000353501,0.000353501,0.000353501
53,1103.82,0.90089,0.62264,1.16891,0.47171,0.35989,0.36343,0.2005,1.29991,0.9904,1.4339,0.000346433,0.000346433,0.000346433
54,1131.87,0.82784,0.55964,1.0978,0.4262,0.37121,0.31588,0.1638,1.29896,1.00444,1.4341,0.000339364,0.000339364,0.000339364
55,1159.52,0.85866,0.54849,1.10721,0.34378,0.39538,0.29648,0.15374,1.31417,1.0995,1.43649,0.000332296,0.000332296,0.000332296
56,1186.78,0.75877,0.57643,1.12614,0.42312,0.3622,0.30771,0.16128,1.30561,1.08535,1.44622,0.000325227,0.000325227,0.000325227
57,1214.15,0.87212,0.58809,1.10488,0.3681,0.41146,0.30393,0.15981,1.30161,1.05664,1.43771,0.000318158,0.000318158,0.000318158
58,1241.68,0.8736,0.53924,1.10252,0.45673,0.33244,0.32973,0.17459,1.30769,1.04983,1.46455,0.00031109,0.00031109,0.00031109
59,1269.51,0.82683,0.55308,1.11015,0.41685,0.36663,0.32589,0.17206,1.31269,1.09583,1.47662,0.000304021,0.000304021,0.000304021
60,1298.16,0.8467,0.55962,1.09657,0.3779,0.35563,0.2942,0.14497,1.29934,1.11138,1.4678,0.000296953,0.000296953,0.000296953
61,1327.15,0.80753,0.56724,1.11195,0.43829,0.38893,0.3378,0.16864,1.29579,1.03862,1.46552,0.000289884,0.000289884,0.000289884
62,1356.19,0.83694,0.59544,1.07325,0.37868,0.41402,0.31383,0.15228,1.28545,1.04263,1.4331,0.000282815,0.000282815,0.000282815
63,1385.08,0.88434,0.57724,1.15045,0.33948,0.42665,0.29826,0.14766,1.28885,1.08494,1.43822,0.000275747,0.000275747,0.000275747
64,1413.81,0.82725,0.52889,1.10629,0.33016,0.41966,0.30456,0.14914,1.31525,1.09559,1.45644,0.000268678,0.000268678,0.000268678
65,1441.92,0.83672,0.62329,1.12697,0.38176,0.39744,0.33029,0.16706,1.32439,1.12037,1.48388,0.00026161,0.00026161,0.00026161
66,1469.38,0.81048,0.55852,1.08035,0.34259,0.41146,0.32761,0.16519,1.31375,1.11292,1.47514,0.000254541,0.000254541,0.000254541
67,1496.71,0.80396,0.55114,1.03984,0.3534,0.34709,0.30711,0.16108,1.31,1.07041,1.45337,0.000247472,0.000247472,0.000247472
68,1524.11,0.82801,0.53988,1.1232,0.36262,0.43032,0.33416,0.17131,1.30168,1.04697,1.46802,0.000240404,0.000240404,0.000240404
69,1551.41,0.89155,0.53047,1.08575,0.41711,0.37914,0.33375,0.16878,1.30998,1.06544,1.47615,0.000233335,0.000233335,0.000233335
70,1578.71,0.83676,0.57396,1.10269,0.37839,0.42257,0.34172,0.18553,1.32209,1.07601,1.47039,0.000226267,0.000226267,0.000226267
71,1605.89,0.73633,0.50807,1.05121,0.32464,0.47665,0.3547,0.17756,1.31714,1.10944,1.46597,0.000219198,0.000219198,0.000219198
72,1633.51,0.80604,0.51878,1.09662,0.3568,0.38877,0.3359,0.17062,1.29692,1.13191,1.45549,0.000212129,0.000212129,0.000212129
73,1661.57,0.85521,0.58932,1.09397,0.41137,0.3801,0.34466,0.17496,1.31318,1.11521,1.45128,0.000205061,0.000205061,0.000205061
74,1690.15,0.78148,0.50281,1.0628,0.40943,0.36764,0.31734,0.16451,1.30017,1.08746,1.45722,0.000197992,0.000197992,0.000197992
75,1719.16,0.83261,0.54012,1.08599,0.41285,0.41313,0.33792,0.17576,1.29578,1.06704,1.4591,0.000190924,0.000190924,0.000190924
76,1747.86,0.77393,0.5376,1.05305,0.4022,0.3899,0.33703,0.17141,1.30125,1.03948,1.4468,0.000183855,0.000183855,0.000183855
77,1776.64,0.75166,0.51566,1.05489,0.40142,0.37875,0.32106,0.16552,1.30148,1.07198,1.45671,0.000176786,0.000176786,0.000176786
78,1804.69,0.77988,0.54579,1.07117,0.39036,0.40901,0.32726,0.16487,1.28894,1.06266,1.45843,0.000169718,0.000169718,0.000169718
79,1832.17,0.6765,0.452,1.04841,0.41583,0.39393,0.34051,0.17263,1.28241,1.04917,1.44584,0.000162649,0.000162649,0.000162649
80,1859.41,0.81245,0.51841,1.04442,0.3971,0.4176,0.33773,0.16532,1.30389,1.06421,1.46057,0.000155581,0.000155581,0.000155581
81,1886.67,0.69615,0.49054,1.04847,0.41288,0.38784,0.34479,0.16801,1.29051,1.02385,1.43799,0.000148512,0.000148512,0.000148512
82,1913.98,0.78275,0.49734,1.0565,0.44962,0.40447,0.36935,0.18555,1.30123,0.99714,1.45787,0.000141443,0.000141443,0.000141443
83,1941.25,0.75728,0.51215,1.0752,0.40519,0.37879,0.35935,0.18317,1.29873,0.99357,1.46247,0.000134375,0.000134375,0.000134375
84,1968.54,0.70009,0.46854,1.05573,0.39324,0.38834,0.36217,0.18772,1.31298,1.03961,1.49488,0.000127306,0.000127306,0.000127306
85,1995.96,0.76789,0.48694,1.02732,0.39744,0.3974,0.33626,0.17761,1.3089,1.07379,1.48705,0.000120238,0.000120238,0.000120238
86,2024.04,0.82356,0.53395,1.06455,0.38426,0.38677,0.33801,0.17732,1.30137,1.06281,1.47967,0.000113169,0.000113169,0.000113169
87,2052.46,0.7798,0.52215,1.05595,0.40881,0.42832,0.35666,0.1844,1.29496,1.04995,1.48779,0.0001061,0.0001061,0.0001061
88,2081.22,0.7563,0.48781,1.08711,0.44121,0.40497,0.37244,0.19512,1.29246,1.04455,1.49507,9.90318e-05,9.90318e-05,9.90318e-05
89,2110.14,0.84259,0.49226,1.06615,0.37387,0.40649,0.35559,0.17983,1.29482,1.07746,1.49255,9.19632e-05,9.19632e-05,9.19632e-05
90,2139.2,0.80706,0.50777,1.07523,0.3601,0.37949,0.33618,0.17227,1.30136,1.09785,1.47781,8.48946e-05,8.48946e-05,8.48946e-05
91,2168.76,0.67503,0.44989,0.96134,0.30489,0.42059,0.28333,0.14017,1.31318,1.15061,1.49471,7.7826e-05,7.7826e-05,7.7826e-05
92,2199.14,0.67193,0.41773,0.9837,0.31152,0.43649,0.28656,0.14104,1.30721,1.14208,1.48059,7.07574e-05,7.07574e-05,7.07574e-05
93,2228.3,0.65833,0.43408,0.97028,0.35328,0.41875,0.32386,0.1663,1.30258,1.09673,1.47234,6.36888e-05,6.36888e-05,6.36888e-05
94,2257.58,0.63452,0.39085,0.97871,0.37153,0.43469,0.34758,0.17916,1.30399,1.07706,1.47292,5.66202e-05,5.66202e-05,5.66202e-05
95,2286.86,0.70937,0.45099,1.00111,0.38822,0.43622,0.35156,0.17667,1.2944,1.07159,1.45702,4.95516e-05,4.95516e-05,4.95516e-05
96,2317.06,0.62689,0.39736,0.98795,0.40141,0.39135,0.35842,0.18478,1.29487,1.0924,1.45722,4.2483e-05,4.2483e-05,4.2483e-05
97,2347.8,0.69338,0.42215,0.98645,0.39301,0.39134,0.36037,0.18534,1.29848,1.08312,1.45233,3.54144e-05,3.54144e-05,3.54144e-05
98,2377.33,0.68967,0.44754,1.02059,0.41869,0.36388,0.34314,0.17539,1.30179,1.1075,1.45196,2.83458e-05,2.83458e-05,2.83458e-05
99,2407.15,0.67291,0.42588,0.97917,0.41738,0.37113,0.3487,0.17442,1.29852,1.09822,1.4645,2.12772e-05,2.12772e-05,2.12772e-05
100,2438.88,0.61016,0.38964,0.98096,0.38786,0.37416,0.34017,0.17965,1.29956,1.10048,1.45249,1.42086e-05,1.42086e-05,1.42086e-05
