epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0302,1.53895,2.70098,1.46489,0.0154,0.28796,0.00721,0.0041,1.57183,251.206,1.66815,0.000234222,0.000234222,0.000234222
2,55.9086,1.4791,2.01421,1.51279,0.00591,0.4141,0.00471,0.00224,2.64093,inf,8.51744,0.000467547,0.000467547,0.000467547
3,78.1495,1.66305,2.32408,1.5859,0.11376,0.36942,0.1005,0.04896,1.68678,23.7977,2.02068,0.00069616,0.00069616,0.00069616
4,101.141,1.53583,2.19739,1.55543,0.21527,0.24209,0.20745,0.11161,1.67648,3.89138,1.95384,0.000692794,0.000692794,0.000692794
5,124.44,1.61753,1.87355,1.54724,0.24387,0.35699,0.21505,0.1107,1.51581,2.52771,1.61074,0.000685726,0.000685726,0.000685726
6,146.917,1.56823,1.89679,1.58309,0.26373,0.44126,0.30889,0.15926,1.55657,2.33476,1.59624,0.000678657,0.000678657,0.000678657
7,169.799,1.66337,1.88946,1.62062,0.29656,0.4454,0.32103,0.16464,1.60762,2.07702,1.652,0.000671588,0.000671588,0.000671588
8,192.748,1.60029,1.6936,1.56238,0.2837,0.37456,0.26592,0.14365,1.48192,2.00874,1.54467,0.00066452,0.00066452,0.00066452
9,215.187,1.42638,1.63802,1.51242,0.39319,0.43528,0.32356,0.17741,1.53815,1.86352,1.64474,0.000657451,0.000657451,0.000657451
10,238.037,1.46066,1.61606,1.52724,0.36819,0.57713,0.37645,0.22197,1.4643,1.83599,1.52851,0.000650383,0.000650383,0.000650383
11,260.926,1.37803,1.51254,1.45079,0.42689,0.49368,0.44002,0.24345,1.44565,1.58129,1.54879,0.000643314,0.000643314,0.000643314
12,283.818,1.38806,1.56353,1.5171,0.44132,0.47506,0.4221,0.26127,1.45522,1.4478,1.51088,0.000636245,0.000636245,0.000636245
13,306.738,1.40889,1.65158,1.48508,0.45519,0.49121,0.45642,0.27707,1.4748,1.51421,1.50032,0.000629177,0.000629177,0.000629177
14,329.432,1.40125,1.41005,1.43748,0.38167,0.44942,0.38052,0.22388,1.42127,1.7414,1.46858,0.000622108,0.000622108,0.000622108
15,351.744,1.4792,1.32605,1.53073,0.50825,0.45618,0.48393,0.30685,1.38647,1.3345,1.45438,0.00061504,0.00061504,0.00061504
16,374.48,1.42666,1.4275,1.44242,0.57702,0.53237,0.5508,0.3246,1.43665,1.35835,1.48495,0.000607971,0.000607971,0.000607971
