epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5387,1.41414,3.58867,1.33672,0.71607,0.15843,0.15931,0.10532,1.27789,3.11043,1.16755,0.000236096,0.000236096,0.000236096
2,61.1403,1.40921,3.0405,1.25273,0.30234,0.39265,0.25263,0.14717,1.37794,2.30269,1.23024,0.000469402,0.000469402,0.000469402
3,82.9983,1.44429,2.56687,1.28175,0.38318,0.358,0.28092,0.1712,1.37307,2.37225,1.23633,0.000697996,0.000697996,0.000697996
4,104.296,1.33789,2.52949,1.24171,0.35968,0.45746,0.29404,0.18622,1.35475,2.09482,1.20958,0.000692794,0.000692794,0.000692794
5,124.539,1.37097,2.50443,1.25944,0.32175,0.51395,0.31978,0.20493,1.35266,2.1281,1.25114,0.000685726,0.000685726,0.000685726
6,145.99,1.3891,2.1876,1.27026,0.3809,0.5305,0.34092,0.21286,1.37365,1.95731,1.22404,0.000678657,0.000678657,0.000678657
7,166.291,1.34813,2.15602,1.23838,0.32973,0.51441,0.329,0.20494,1.3785,2.26017,1.22229,0.000671588,0.000671588,0.000671588
8,188.072,1.30146,2.05102,1.22077,0.44697,0.39697,0.35628,0.22458,1.31591,1.847,1.20138,0.00066452,0.00066452,0.00066452
9,208.479,1.33204,1.90027,1.24013,0.31769,0.44712,0.32549,0.19535,1.32937,2.02979,1.19668,0.000657451,0.000657451,0.000657451
10,228.219,1.34794,2.00217,1.21457,0.44456,0.50684,0.41366,0.26027,1.38453,1.83319,1.24405,0.000650383,0.000650383,0.000650383
11,248.968,1.35194,1.88264,1.228,0.49787,0.41379,0.40738,0.24878,1.36557,1.64753,1.23875,0.000643314,0.000643314,0.000643314
12,270.924,1.2558,1.85905,1.18819,0.38995,0.53776,0.3965,0.25736,1.32659,1.67674,1.2185,0.000636245,0.000636245,0.000636245
13,291.149,1.40838,1.89676,1.25931,0.47894,0.48577,0.41828,0.26526,1.34326,1.72548,1.21814,0.000629177,0.000629177,0.000629177
14,310.376,1.36293,1.81648,1.2223,0.48372,0.50699,0.46083,0.31141,1.31248,1.62554,1.18808,0.000622108,0.000622108,0.000622108
15,332.655,1.37803,1.66191,1.23193,0.4316,0.52301,0.46383,0.31437,1.33119,1.70431,1.19708,0.00061504,0.00061504,0.00061504
16,352.468,1.33632,1.74699,1.23159,0.56378,0.52636,0.53288,0.35998,1.32131,1.56913,1.20018,0.000607971,0.000607971,0.000607971
17,372.448,1.31014,1.70462,1.21102,0.3807,0.54965,0.42993,0.27902,1.30455,1.83282,1.19647,0.000600902,0.000600902,0.000600902
18,393.796,1.31522,1.68685,1.20407,0.53692,0.52797,0.52745,0.34687,1.26991,1.50404,1.16753,0.000593834,0.000593834,0.000593834
19,415.353,1.27581,1.76308,1.17108,0.60786,0.52801,0.58358,0.41082,1.26472,1.44426,1.15695,0.000586765,0.000586765,0.000586765
20,435.031,1.27218,1.58131,1.16098,0.49453,0.57021,0.53564,0.35002,1.28262,1.54066,1.17161,0.000579697,0.000579697,0.000579697
21,456.933,1.21876,1.55761,1.16486,0.5012,0.56703,0.56403,0.37789,1.33481,1.49358,1.20652,0.000572628,0.000572628,0.000572628
22,477.65,1.26666,1.64127,1.16513,0.55265,0.50284,0.54646,0.36305,1.32262,1.47523,1.19182,0.000565559,0.000565559,0.000565559
23,498.996,1.2667,1.52885,1.13866,0.58653,0.52782,0.56555,0.38265,1.32274,1.4182,1.18481,0.000558491,0.000558491,0.000558491
24,519.314,1.29748,1.46206,1.16347,0.60033,0.51893,0.54771,0.36935,1.28488,1.42822,1.18019,0.000551422,0.000551422,0.000551422
25,538.638,1.3252,1.46697,1.19163,0.51888,0.55926,0.55547,0.37221,1.27119,1.39354,1.1674,0.000544354,0.000544354,0.000544354
26,559.359,1.22313,1.51073,1.15177,0.5506,0.5477,0.56711,0.37956,1.28756,1.47681,1.18046,0.000537285,0.000537285,0.000537285
27,581.178,1.25773,1.46176,1.17771,0.63927,0.53307,0.60021,0.41452,1.28535,1.33977,1.19588,0.000530216,0.000530216,0.000530216
28,601.373,1.27725,1.42936,1.15519,0.63774,0.52608,0.57355,0.38289,1.2839,1.38019,1.18784,0.000523148,0.000523148,0.000523148
29,623.501,1.19725,1.40268,1.14255,0.64938,0.55932,0.61871,0.41142,1.29453,1.32115,1.17638,0.000516079,0.000516079,0.000516079
30,645.097,1.25325,1.42445,1.17292,0.52527,0.63619,0.58548,0.40407,1.27061,1.43519,1.17513,0.000509011,0.000509011,0.000509011
